isolate	year
3284|26C	2014
3285|26T	2014
3928|OXC5483	2010
3950|OXC4969	2010
3951|OXC4970	2010
3952|OXC4971	2010
3953|OXC4972	2010
3954|OXC4973	2010
3955|OXC4975	2010
3956|OXC4976	2010
3957|OXC4981	2010
3958|OXC4985	2010
3959|OXC4986	2010
3960|OXC4987	2010
3961|OXC4988	2010
3962|OXC4989	2010
3964|OXC4991	2010
3965|OXC4995	2010
3966|OXC5000	2010
3967|OXC5001	2010
3968|OXC5002	2010
3969|OXC5003	2010
3970|OXC5004	2010
3971|OXC5005	2010
3975|OXC5013	2010
3977|OXC5015	2010
3979|OXC5020	2010
3980|OXC5022	2010
3981|OXC5023	2010
3982|OXC5025	2010
3983|OXC5026	2010
3984|OXC5027	2010
3986|OXC5029	2010
3987|OXC5030	2010
3989|OXC5033	2010
3991|OXC5035	2010
3993|OXC5038	2010
3994|OXC5039	2010
3995|OXC5041	2010
3996|OXC5043	2010
3998|OXC5049	2010
3999|OXC5051	2010
4000|OXC5052	2010
4001|OXC5054	2010
4003|OXC5057	2010
4004|OXC5058	2010
4005|OXC5059	2010
4006|OXC5063	2010
4007|OXC5066	2010
4008|OXC5067	2010
4009|OXC5068	2010
4010|OXC5071	2010
4012|OXC5081	2010
4013|OXC5082	2010
4014|OXC5083	2010
4015|OXC5087	2010
4016|OXC5088	2010
4017|OXC5089	2010
4018|OXC5090	2010
4019|OXC5091	2010
4020|OXC5094	2010
4021|OXC5097	2010
4022|OXC5102	2010
4023|OXC5104	2010
4024|OXC5109	2010
4025|OXC5110	2010
4026|OXC5111	2010
4027|OXC5112	2010
4028|OXC5117	2010
4029|OXC5118	2010
4030|OXC5120	2010
4031|OXC5121	2010
4032|OXC5122	2010
4033|OXC5124	2010
4034|OXC5125	2010
4035|OXC5126	2010
4036|OXC5127	2010
4037|OXC5128	2010
4039|OXC5130	2010
4040|OXC5131	2010
4041|OXC5132	2010
4042|OXC5133	2010
4043|OXC5136	2010
4044|OXC5138	2010
4047|OXC5145	2010
4048|OXC5147	2010
4049|OXC5149	2010
4050|OXC5150	2010
4051|OXC5162	2010
4052|OXC5164	2010
4053|OXC5166	2010
4054|OXC5167	2010
4055|OXC5168	2010
4056|OXC5169	2010
4057|OXC5170	2010
4058|OXC5171	2010
4059|OXC5176	2010
4061|OXC5178	2010
4062|OXC5179	2010
4063|OXC5180	2010
4064|OXC5182	2010
4065|OXC5183	2010
4066|OXC5184	2010
4067|OXC5185	2010
4068|OXC5187	2010
4069|OXC5188	2010
4070|OXC5189	2010
4071|OXC5190	2010
4072|OXC5191	2010
